[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8431091751290753, 0.6664042467617994, -1.8387181747745656, -0.024264541284357084, -0.8980593257145444, 0.516182830757252, 0.0, 0.0, 0.0, 0.0, -0.0, 0.1]
0.59 0.59 0.59 NaN NaN NaN NaN 0.59 0.59 0.59 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN 
0.59 0.59 0.59 NaN NaN NaN NaN 0.59 0.59 0.59 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN 
0.59 0.59 0.59 NaN NaN NaN NaN 0.59 0.59 0.59 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
0.59 0.59 0.59 NaN NaN NaN NaN 1.77 0.00 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN 
0.59 0.59 0.59 NaN NaN NaN NaN 0.00 1.77 0.00 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN 
0.59 0.59 0.59 NaN NaN NaN NaN 0.00 0.00 1.77 0.00 0.00 0.00 NaN NaN NaN NaN NaN NaN 
0.00 0.00 0.00 NaN NaN NaN NaN 0.00 0.00 0.00 3.99 0.00 0.00 NaN NaN NaN NaN NaN NaN 
0.00 0.00 0.00 NaN NaN NaN NaN 0.00 0.00 0.00 0.00 3.99 0.00 NaN NaN NaN NaN NaN NaN 
0.00 0.00 0.00 NaN NaN NaN NaN 0.00 0.00 0.00 0.00 0.00 3.99 NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 


